Trajectory - Seconds: 24.55, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 1.20, Y: -3.90), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: -0.17), 
State(Sec: 0.26, Vel m/s: 0.52, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 1.27, Y: -3.90), Rotation2d(Rads: -0.01, Deg: -0.52)), Curvature: -0.09), 
State(Sec: 0.37, Vel m/s: 0.74, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 1.34, Y: -3.90), Rotation2d(Rads: -0.01, Deg: -0.67)), Curvature: 0.01), 
State(Sec: 0.45, Vel m/s: 0.90, Accel m/s/s: 0.58, Pose: Pose2d(Translation2d(X: 1.40, Y: -3.90), Rotation2d(Rads: -0.01, Deg: -0.43)), Curvature: 0.12), 
State(Sec: 0.52, Vel m/s: 0.94, Accel m/s/s: -0.50, Pose: Pose2d(Translation2d(X: 1.46, Y: -3.90), Rotation2d(Rads: 0.00, Deg: 0.23)), Curvature: 0.24), 
State(Sec: 0.65, Vel m/s: 0.87, Accel m/s/s: -0.51, Pose: Pose2d(Translation2d(X: 1.59, Y: -3.90), Rotation2d(Rads: 0.05, Deg: 2.95)), Curvature: 0.54), 
State(Sec: 0.79, Vel m/s: 0.80, Accel m/s/s: -0.48, Pose: Pose2d(Translation2d(X: 1.70, Y: -3.89), Rotation2d(Rads: 0.14, Deg: 7.76)), Curvature: 0.91), 
State(Sec: 0.87, Vel m/s: 0.76, Accel m/s/s: -0.43, Pose: Pose2d(Translation2d(X: 1.76, Y: -3.88), Rotation2d(Rads: 0.19, Deg: 11.04)), Curvature: 1.11), 
State(Sec: 0.94, Vel m/s: 0.73, Accel m/s/s: -0.35, Pose: Pose2d(Translation2d(X: 1.81, Y: -3.87), Rotation2d(Rads: 0.26, Deg: 14.90)), Curvature: 1.32), 
State(Sec: 1.02, Vel m/s: 0.70, Accel m/s/s: -0.25, Pose: Pose2d(Translation2d(X: 1.87, Y: -3.85), Rotation2d(Rads: 0.34, Deg: 19.32)), Curvature: 1.50), 
State(Sec: 1.10, Vel m/s: 0.68, Accel m/s/s: -0.17, Pose: Pose2d(Translation2d(X: 1.92, Y: -3.83), Rotation2d(Rads: 0.42, Deg: 24.25)), Curvature: 1.65), 
State(Sec: 1.14, Vel m/s: 0.68, Accel m/s/s: -0.10, Pose: Pose2d(Translation2d(X: 1.94, Y: -3.82), Rotation2d(Rads: 0.47, Deg: 26.87)), Curvature: 1.70), 
State(Sec: 1.18, Vel m/s: 0.67, Accel m/s/s: -0.04, Pose: Pose2d(Translation2d(X: 1.96, Y: -3.81), Rotation2d(Rads: 0.52, Deg: 29.57)), Curvature: 1.73), 
State(Sec: 1.22, Vel m/s: 0.67, Accel m/s/s: 0.02, Pose: Pose2d(Translation2d(X: 1.99, Y: -3.79), Rotation2d(Rads: 0.56, Deg: 32.33)), Curvature: 1.75), 
State(Sec: 1.26, Vel m/s: 0.67, Accel m/s/s: 0.08, Pose: Pose2d(Translation2d(X: 2.01, Y: -3.78), Rotation2d(Rads: 0.61, Deg: 35.12)), Curvature: 1.74), 
State(Sec: 1.30, Vel m/s: 0.68, Accel m/s/s: 0.13, Pose: Pose2d(Translation2d(X: 2.03, Y: -3.76), Rotation2d(Rads: 0.66, Deg: 37.93)), Curvature: 1.72), 
State(Sec: 1.34, Vel m/s: 0.68, Accel m/s/s: 0.19, Pose: Pose2d(Translation2d(X: 2.06, Y: -3.74), Rotation2d(Rads: 0.71, Deg: 40.74)), Curvature: 1.67), 
State(Sec: 1.39, Vel m/s: 0.69, Accel m/s/s: 0.23, Pose: Pose2d(Translation2d(X: 2.08, Y: -3.72), Rotation2d(Rads: 0.76, Deg: 43.51)), Curvature: 1.61), 
State(Sec: 1.43, Vel m/s: 0.70, Accel m/s/s: 0.62, Pose: Pose2d(Translation2d(X: 2.10, Y: -3.70), Rotation2d(Rads: 0.81, Deg: 46.23)), Curvature: 1.54), 
State(Sec: 1.52, Vel m/s: 0.75, Accel m/s/s: 0.57, Pose: Pose2d(Translation2d(X: 2.14, Y: -3.65), Rotation2d(Rads: 0.89, Deg: 51.08)), Curvature: 1.17), 
State(Sec: 1.60, Vel m/s: 0.80, Accel m/s/s: 0.49, Pose: Pose2d(Translation2d(X: 2.18, Y: -3.60), Rotation2d(Rads: 0.96, Deg: 54.95)), Curvature: 0.88), 
State(Sec: 1.69, Vel m/s: 0.84, Accel m/s/s: 0.42, Pose: Pose2d(Translation2d(X: 2.22, Y: -3.54), Rotation2d(Rads: 1.01, Deg: 58.01)), Curvature: 0.66), 
State(Sec: 1.77, Vel m/s: 0.88, Accel m/s/s: 0.35, Pose: Pose2d(Translation2d(X: 2.26, Y: -3.48), Rotation2d(Rads: 1.05, Deg: 60.41)), Curvature: 0.49), 
State(Sec: 1.85, Vel m/s: 0.91, Accel m/s/s: 0.30, Pose: Pose2d(Translation2d(X: 2.29, Y: -3.41), Rotation2d(Rads: 1.09, Deg: 62.24)), Curvature: 0.36), 
State(Sec: 1.94, Vel m/s: 0.93, Accel m/s/s: 0.26, Pose: Pose2d(Translation2d(X: 2.33, Y: -3.34), Rotation2d(Rads: 1.11, Deg: 63.59)), Curvature: 0.25), 
State(Sec: 2.03, Vel m/s: 0.96, Accel m/s/s: 0.24, Pose: Pose2d(Translation2d(X: 2.36, Y: -3.27), Rotation2d(Rads: 1.13, Deg: 64.53)), Curvature: 0.16), 
State(Sec: 2.11, Vel m/s: 0.98, Accel m/s/s: 0.22, Pose: Pose2d(Translation2d(X: 2.40, Y: -3.20), Rotation2d(Rads: 1.14, Deg: 65.10)), Curvature: 0.08), 
State(Sec: 2.19, Vel m/s: 1.00, Accel m/s/s: -0.13, Pose: Pose2d(Translation2d(X: 2.43, Y: -3.12), Rotation2d(Rads: 1.14, Deg: 65.33)), Curvature: 0.01), 
State(Sec: 2.28, Vel m/s: 0.99, Accel m/s/s: -0.20, Pose: Pose2d(Translation2d(X: 2.47, Y: -3.04), Rotation2d(Rads: 1.14, Deg: 65.23)), Curvature: -0.05), 
State(Sec: 2.37, Vel m/s: 0.97, Accel m/s/s: -0.20, Pose: Pose2d(Translation2d(X: 2.51, Y: -2.97), Rotation2d(Rads: 1.13, Deg: 64.82)), Curvature: -0.12), 
State(Sec: 2.46, Vel m/s: 0.95, Accel m/s/s: -0.21, Pose: Pose2d(Translation2d(X: 2.54, Y: -2.89), Rotation2d(Rads: 1.12, Deg: 64.08)), Curvature: -0.19), 
State(Sec: 2.54, Vel m/s: 0.93, Accel m/s/s: -0.22, Pose: Pose2d(Translation2d(X: 2.58, Y: -2.81), Rotation2d(Rads: 1.10, Deg: 63.00)), Curvature: -0.26), 
State(Sec: 2.64, Vel m/s: 0.91, Accel m/s/s: -0.24, Pose: Pose2d(Translation2d(X: 2.62, Y: -2.74), Rotation2d(Rads: 1.07, Deg: 61.55)), Curvature: -0.34), 
State(Sec: 2.73, Vel m/s: 0.89, Accel m/s/s: -0.27, Pose: Pose2d(Translation2d(X: 2.66, Y: -2.67), Rotation2d(Rads: 1.04, Deg: 59.71)), Curvature: -0.44), 
State(Sec: 2.82, Vel m/s: 0.87, Accel m/s/s: -0.05, Pose: Pose2d(Translation2d(X: 2.70, Y: -2.60), Rotation2d(Rads: 1.00, Deg: 57.42)), Curvature: -0.56), 
State(Sec: 2.91, Vel m/s: 0.86, Accel m/s/s: -0.04, Pose: Pose2d(Translation2d(X: 2.74, Y: -2.53), Rotation2d(Rads: 0.96, Deg: 54.87)), Curvature: -0.58), 
State(Sec: 3.00, Vel m/s: 0.86, Accel m/s/s: -0.03, Pose: Pose2d(Translation2d(X: 2.79, Y: -2.47), Rotation2d(Rads: 0.91, Deg: 52.28)), Curvature: -0.60), 
State(Sec: 3.09, Vel m/s: 0.85, Accel m/s/s: -0.02, Pose: Pose2d(Translation2d(X: 2.84, Y: -2.41), Rotation2d(Rads: 0.87, Deg: 49.67)), Curvature: -0.61), 
State(Sec: 3.17, Vel m/s: 0.85, Accel m/s/s: -0.01, Pose: Pose2d(Translation2d(X: 2.89, Y: -2.36), Rotation2d(Rads: 0.82, Deg: 47.05)), Curvature: -0.62), 
State(Sec: 3.26, Vel m/s: 0.85, Accel m/s/s: 0.01, Pose: Pose2d(Translation2d(X: 2.94, Y: -2.31), Rotation2d(Rads: 0.78, Deg: 44.45)), Curvature: -0.62), 
State(Sec: 3.34, Vel m/s: 0.85, Accel m/s/s: 0.02, Pose: Pose2d(Translation2d(X: 2.99, Y: -2.26), Rotation2d(Rads: 0.73, Deg: 41.87)), Curvature: -0.62), 
State(Sec: 3.43, Vel m/s: 0.85, Accel m/s/s: 0.03, Pose: Pose2d(Translation2d(X: 3.04, Y: -2.21), Rotation2d(Rads: 0.69, Deg: 39.34)), Curvature: -0.61), 
State(Sec: 3.51, Vel m/s: 0.86, Accel m/s/s: 0.04, Pose: Pose2d(Translation2d(X: 3.10, Y: -2.17), Rotation2d(Rads: 0.64, Deg: 36.87)), Curvature: -0.60), 
State(Sec: 3.59, Vel m/s: 0.86, Accel m/s/s: 0.05, Pose: Pose2d(Translation2d(X: 3.16, Y: -2.12), Rotation2d(Rads: 0.60, Deg: 34.47)), Curvature: -0.58), 
State(Sec: 3.68, Vel m/s: 0.86, Accel m/s/s: 0.06, Pose: Pose2d(Translation2d(X: 3.22, Y: -2.09), Rotation2d(Rads: 0.56, Deg: 32.15)), Curvature: -0.56), 
State(Sec: 3.76, Vel m/s: 0.87, Accel m/s/s: 0.07, Pose: Pose2d(Translation2d(X: 3.28, Y: -2.05), Rotation2d(Rads: 0.52, Deg: 29.92)), Curvature: -0.54), 
State(Sec: 3.84, Vel m/s: 0.88, Accel m/s/s: 0.08, Pose: Pose2d(Translation2d(X: 3.34, Y: -2.02), Rotation2d(Rads: 0.49, Deg: 27.80)), Curvature: -0.51), 
State(Sec: 3.92, Vel m/s: 0.88, Accel m/s/s: 0.08, Pose: Pose2d(Translation2d(X: 3.40, Y: -1.98), Rotation2d(Rads: 0.45, Deg: 25.79)), Curvature: -0.48), 
State(Sec: 4.00, Vel m/s: 0.89, Accel m/s/s: 0.09, Pose: Pose2d(Translation2d(X: 3.47, Y: -1.95), Rotation2d(Rads: 0.42, Deg: 23.88)), Curvature: -0.45), 
State(Sec: 4.08, Vel m/s: 0.89, Accel m/s/s: 0.09, Pose: Pose2d(Translation2d(X: 3.53, Y: -1.93), Rotation2d(Rads: 0.39, Deg: 22.10)), Curvature: -0.42), 
State(Sec: 4.16, Vel m/s: 0.90, Accel m/s/s: 0.07, Pose: Pose2d(Translation2d(X: 3.60, Y: -1.90), Rotation2d(Rads: 0.36, Deg: 20.42)), Curvature: -0.39), 
State(Sec: 4.24, Vel m/s: 0.91, Accel m/s/s: 0.06, Pose: Pose2d(Translation2d(X: 3.67, Y: -1.88), Rotation2d(Rads: 0.33, Deg: 18.86)), Curvature: -0.37), 
State(Sec: 4.32, Vel m/s: 0.91, Accel m/s/s: 0.05, Pose: Pose2d(Translation2d(X: 3.74, Y: -1.85), Rotation2d(Rads: 0.30, Deg: 17.38)), Curvature: -0.35), 
State(Sec: 4.40, Vel m/s: 0.92, Accel m/s/s: 0.04, Pose: Pose2d(Translation2d(X: 3.81, Y: -1.83), Rotation2d(Rads: 0.28, Deg: 15.97)), Curvature: -0.33), 
State(Sec: 4.48, Vel m/s: 0.92, Accel m/s/s: 0.04, Pose: Pose2d(Translation2d(X: 3.88, Y: -1.81), Rotation2d(Rads: 0.26, Deg: 14.63)), Curvature: -0.31), 
